Equipo,Denominación,GMAO,Ubicación Tec
1745042,PINZA ARO PISO X52  [EM13],WPSXPZ737,ENVG_T_001_BR-
1745043,PINZA ARO PISO X52  [EM02],WPSXPZ742,ENVG_T_001_BR-
1745044,PINZA ARO PISO X52  [EM04],WPSXPZ745,ENVG_T_001_SE
1745045,PINZA ARO PISO X52  [EM11],WPSXPZ751,ENVG_T_001_BR__SUB
1745046,PINZA ARO X52 SUB ENSAMBLE,WPSXPZ763MF,ENVG_T_EST_PRO
1745049,MATRIZ JR010 B52 F2 FALDON SUPERIOR,WFFDMT022,ENVG_T_UN1
1745059,MATRIZ PCG010 GOTERA IZQUIERDA B52,WGIBMM025,ENVG_T_UN2
1745079,DISPOSITIVO MONTAJE TRAMPA GASOLINA B52,WDMLDN062,ENVG_T
1745084,DISPOSITIVO CAPOT/ALETAS X52,WDCADN063,ENVG_T
1745090,DISPOSITIVO AJUSTE PORTILLON LD L52,WDAPDN064,ENVG_T
1745109,DISPOSITIVO AJUSTE PORTILLON LI L52,WDAPDN065,ENVG_T
1745111,MATRIZ PCG010 GOTERA IZQUIERDA L52,WGILMM026,ENVG_T_UN2
1745112,OXIACETILENO TERMINACION,WTRCOX007,ENVG_T_COM_CF-_CFF-_CFF1_000D
1745117,POLIPASTO FINAL LINEA BM2 BM110,WTRXPL538,ENVG_T_HJD_BM-_-110
1745120,TUCKER M5 PLM200 CABINA TERMINAC ROBER S,WTERXSG-40,ENVG_T_COM_CF-_CFF-_CFF1_000D
1745121,TUCKER M5 PLM200 CABINA TERM ROBER SOSSA,WTRXSG021,ENVG_T_COM_CF-_CFF-_CFF1_000D
1745122,TUCKER M6 PLM200 CABINA TERM ROBER SOSSA,WBMHSG-34,ENVG_T_HJD_BM-_-100
1745123,PISTOLA Y ALIMENTADOR TUCKER M5-BM100,WBMHSG-37,ENVG_T_HJD_BM-_-100
1745124,MILLER TERMINACION X52,WTRXSM001,ENVG_T_CAB_TER_-CO2
1745125,MILLER TERMINACION STAND BY,WTRXSM002,ENVG_T_CAB_TER_-CO2
1745126,MILLER TERMINACION STAND BY,WTRXSM003,ENVG_T_CAB_TER_-CO2
1745127,MILLER TERMINACION X52,WTRXSM004,ENVG_T_CAB_TER_-CO2
1745128,MILLER TERMINACION X52,WTRXSM006,ENVG_T_CAB_TER_-CO2
1745132,OXIACETILENO X52,WTRXOX010,ENVG_T_COM_CF-_CFF-_CFF1_007D
1745135,PIVOTANTE CAJA EN BLANCO CAMPUZANO,WTRXCJ007,ENVG_T_COM_CF-_CFF-_CFF1_009D
1745138,MILLER TERMINACION X52,WTRXSM007,ENVG_T_CAB_TER_-CO2
1745139,MILLER TERMINACION X52,WTRXSM011,ENVG_T_CAB_TER_-CAL
1745142,RED AGUA SOLDADURA,WGENRA005,ENVG_T_COM_CF-_CFF-_CFF1
1745143,RED CO2 SOLDADURA,WGENRC008,ENVG_T_COM_CF-_CFF-_CFF1
1745144,RED AIRE SOLDADURA,WGENRI006,ENVG_T_COM_CF-_CFF-_CFF1
1745145,RED ELECTRICA SOLDADURA,WGENRL007,ENVG_T_COM_CF-_CFF-_CFF1
1745148,PINZA DESTRUCTIVA,WTRXPZ100,ENVG_T
1745149,TECH TERMINACION,WTRXSG024,ENVG_T_COM_CF-_CFF-_CFF1
1745153,MATRIZ TL010 MALETERO L52 [J.A],WMTLMM027,ENVG_T_UN2
1745158,DISPOSITIVO MONTAJE TRAMPA GASOLINA L52,WDMTDN066,ENVG_T
1957981,AGV SOLDADURA,WTRXAGV01,ENVG_T_COM_CF-_CFF-_CFF1_0010
1959851,PINZA ARO LATERAS IZR X  [EM08],WCBXPZ157,ENVG_T_001_SE
1959854,TUCKER  M5 PLM200 STAND BY X52 ROBER S,WTERXSG-39,ENVG_T_COM_CF-_CFF-_CFF1_000D
1995124,ESTACIONARIA PRP9,WBRXEE009,ENVG_T
1995125,ESTACIONARIA PRP10,WBRXEE010,ENVG_T
2052402,ROBOT B1 DORIAN P,WSEXRB006,ENVG_T_006_OU-_PR--_PRB-_0006
2052406,ROBOT B2 DORIAN P,WSEXRB007,ENVG_T_003_OU-_CR--
2052407,ROBOT B3 DORIAN P,WSEXRB008,ENVG_T_006_OU-_PV--_PVX-_0008
2052449,ROBOT B4 DORIAN P,WSEXRB009,ENVG_T_006_OU-_CR--_CRX-_0009
2052450,DISPOSITIVO NEUMATICO TI L52 MIGUEL R,WTRXDN010,ENVG_T_002_OU-_PRG-
2052451,DISPOSITIVO NEUMAT PUERTA TD L52 MIGUEL,WTRXDN011,ENVG_T_002_OU-_PRG-_PRGP
2052452,DISPOSITIVO NEUMAT PUERTA DI L52 MIGUEL,WTRXDN012,ENVG_T_COM_CF-_CFF-_CFF1_00XD
2052453,DISPOSITIV NEUMAT PUERTA DD L52 MIGUEL R,WTRXDN013,ENVG_T_COM_CF-_CFF-_CFF1_00XD
2053514,POLIPASTO LATERAL DERECHO FINAL  EM15,WLDXPL594,ENVG_T_005_CS-_CSF-_CSF5
2053515,POLIPASTO LATERAL DERECHO 1 EM15,WLDXPL595,ENVG_T_006_CX-_CXD-_CCDX_0001
2053542,POLIPASTO LATERAL 2 DERECHO,WCDCCPL-597,ENVG_T_006_CX-_CXG-_CCIX_0002
2053543,POLIPASTO LATERAL 2 IZQUIERDO,WCDCCPL-596,ENVG_T_006_CX-_CXG-_CCIX_0002
2053544,TUCKER PLM200 LATERAL DERECHO X52 ROBER,WCDCHSG-26,ENVG_T_HJD_CDC_EH01
2053545,TUCKER MASA PLM200 – BM100,WBMHSG-36,ENVG_T_HJD_BM-_-100
2053546,TUCKER M5 PLM200 LAT DERECHO X52 ROBER S,WCDCHSG-27,ENVG_T_HJD_CDC_EH01
2053547,TUCKER M5 PLM200 LATERAL DER X52 ROBER S,WCDCHSG-23,ENVG_T_HJD_CDC_EH01
2053550,ECKOLD LATERAL DERECHO X52,WLDXEK050,ENVG_T_006_CX-_CXD-_CCDX_0001
2053551,ECKOLD LATERAL IZQUIERDO X52,WLIXEK051,ENVG_T_006_CX-_CXG-_CCIX_0002
2053749,MATRIZ LVG005 X52 BLOQUE DELANTERO [J.V],WBLXMT681,ENVG_T_001_BR-_LV--_LVG-_0010
2053750,MATRIZ TA005 TIB SUPERIOR SUBENSAMBLES,WBLXMT682,ENVG_T_EST_PRO
2053751,MATRIZ SR005 X52  PISO CENTRAL [J.A],WPSXMT685,ENVG_T_006_BRX_SR--_SRA-_0005
2053752,MATRIZ CCD015 x52 SUB ENSAMBLE,WPRXMT687,ENVG_T_EST_PRO
2053753,MATRIZ LAT. DER. CCD100 L52,WLDXMT688,ENVG_T_006_CX-_CXD-_CCDX_0001
2053754,MATRIZ CCG100 LATERAL I L52 [J.A],WLIXMT689,ENVG_T_006_CX-_CXG-_CCIX_0002
